config,phase,thread_id,ops,bytes,dur_ns,p50_ns,p95_ns,p99_ns,p999_ns,mean_ns,stddev_ns,n_samples
E_rand_rmw_t8_c512,baseline,0,123711466,989691728,10000157513,190.0,259.0,521.0,563.0,210.6,584.7,10000
E_rand_rmw_t8_c512,baseline,1,62019554,496156432,9990279644,190.0,248.0,524.0,595.0,200.1,99.6,10000
E_rand_rmw_t8_c512,migration,0,482325834,3858606672,30000351689,135.0,203.0,460.0,530.0,147.9,98.2,10000
E_rand_rmw_t8_c512,migration,1,480807675,3846461400,29999987567,134.0,203.0,454.0,535.0,148.7,189.7,10000
E_rand_rmw_t8_c512,steady,0,163461670,1307693360,10000151087,134.0,182.0,449.0,508.0,142.5,54.4,10000
E_rand_rmw_t8_c512,steady,1,163846695,1310773560,10000149836,132.0,181.0,448.0,509.0,142.4,118.4,10000
