config,phase,thread_id,ops,bytes,dur_ns,p50_ns,p95_ns,p99_ns,p999_ns,mean_ns,stddev_ns,n_samples
E_rand_rmw_t4_c64,baseline,0,63743455,509947640,10008731097,186.0,266.0,519.0,557.0,198.4,134.4,10000
E_rand_rmw_t4_c64,baseline,1,63462272,507698176,9992136151,185.0,234.0,515.0,544.0,192.7,64.9,10000
E_rand_rmw_t4_c64,migration,0,482420067,3859360536,29991756879,135.0,212.0,459.0,534.0,151.3,176.9,10000
E_rand_rmw_t4_c64,migration,1,452089213,3616713704,30000372117,136.0,208.0,449.0,538.0,149.2,97.1,10000
E_rand_rmw_t4_c64,steady,0,163614513,1308916104,10000165352,133.0,188.0,455.0,520.0,145.7,124.7,10000
E_rand_rmw_t4_c64,steady,1,164355122,1314840976,10000124642,134.0,183.0,453.0,520.0,145.4,199.6,10000
