seq,cpu,pid,src_pfn,dst_pfn,page_order,src_nid,dst_nid,mapcount,is_anon,page_was_mapped,lock_contended,lock_ns,unmap_ns,copy_ns,remap_ns,unlock_ns,total_ns,overhead_ns,result,try_migrate_ns,rwsem_wait_ns,ptl_wait_ns,ipi_wait_ns,online_cpus
1,0,1682,24696,1088459,0,0,1,0,0,1,0,0,3795,4777,913,71,252993493207,252993483651,0,3795,0,1624,137,4
2,0,1682,24697,1086914,0,0,1,0,0,1,0,0,273,844,159,31,252993495859,252993494552,0,273,0,110,137,4
3,0,1682,24698,1086959,0,0,1,0,0,1,0,0,222,874,143,30,252993497602,252993496333,0,222,0,94,137,4
4,0,1682,24699,1089398,0,0,1,0,0,1,0,0,220,817,143,30,252993499270,252993498060,0,220,0,94,137,4
5,0,1682,24700,1086962,0,0,1,0,0,1,0,0,219,950,150,30,252993500903,252993499554,0,219,0,94,137,4
6,0,1682,24701,1086998,0,0,1,0,0,1,0,0,237,843,150,29,252993502271,252993501012,0,237,0,110,137,4
7,0,1682,24702,1087009,0,0,1,0,0,1,0,0,272,809,143,30,252993503592,252993502338,0,272,0,143,137,4
8,0,1682,24703,1087010,0,0,1,0,0,1,0,0,221,843,143,30,252993504949,252993503712,0,221,0,93,137,4
9,0,1682,25544,1087012,0,0,1,0,0,1,0,0,271,1017,144,31,252993506481,252993505018,0,271,0,145,137,4
10,0,1682,25545,1086961,0,0,1,0,0,1,0,0,222,868,142,30,252993507858,252993506596,0,222,0,94,137,4
11,0,1682,25546,1086981,0,0,1,0,0,1,0,0,221,822,142,30,252993509189,252993507974,0,221,0,93,137,4
12,0,1682,25547,1086986,0,0,1,0,0,1,0,0,219,804,142,30,252993510506,252993509311,0,219,0,94,137,4
13,0,1682,25548,1086967,0,0,1,0,0,1,0,0,221,834,141,31,252993511878,252993510651,0,221,0,93,137,4
14,0,1682,25549,1086992,0,0,1,0,0,1,0,0,223,861,143,29,252993513451,252993512195,0,223,0,96,137,4
15,0,1682,25550,1086990,0,0,1,0,0,1,0,0,220,913,141,31,252993515199,252993513894,0,220,0,95,137,4
16,0,1682,25551,1104329,0,0,1,0,0,1,0,0,222,786,142,29,252993516696,252993515517,0,222,0,94,137,4
17,0,1682,25560,1182397,0,0,1,0,0,1,0,0,283,988,141,29,252993518507,252993517066,0,283,0,156,137,4
18,0,1682,25561,1185784,0,0,1,0,0,1,0,0,222,790,142,30,252993520005,252993518821,0,222,0,95,137,4
19,0,1682,25562,1185792,0,0,1,0,0,1,0,0,219,826,144,29,252993521519,252993520301,0,219,0,94,137,4
20,0,1682,25563,1159923,0,0,1,0,0,1,0,0,220,772,143,30,252993522989,252993521824,0,220,0,95,137,4
21,0,1682,25564,1111667,0,0,1,0,0,1,0,0,222,759,143,30,252993524419,252993523265,0,222,0,94,137,4
22,0,1682,25565,1106205,0,0,1,0,0,1,0,0,221,773,142,31,252993525856,252993524689,0,221,0,94,137,4
23,0,1682,25566,1144604,0,0,1,0,0,1,0,0,218,758,144,31,252993527134,252993525983,0,218,0,93,137,4
24,0,1682,25567,1102497,0,0,1,0,0,1,0,0,219,783,143,30,252993528431,252993527256,0,219,0,93,137,4
25,0,1682,25704,1203328,0,0,1,0,0,1,0,0,275,1036,142,33,252993529983,252993528497,0,275,0,149,137,4
26,0,1682,25705,1170351,0,0,1,0,0,1,0,0,220,829,141,30,252993531324,252993530104,0,220,0,96,137,4
27,0,1682,25706,1146192,0,0,1,0,0,1,0,0,219,779,142,32,252993532988,252993531816,0,219,0,95,137,4
28,0,1682,25707,1124163,0,0,1,0,0,1,0,0,221,778,143,30,252993534298,252993533126,0,221,0,95,137,4
29,0,1682,25708,1106298,0,0,1,0,0,1,0,0,220,789,143,31,252993535628,252993534445,0,220,0,93,137,4
30,0,1682,25709,1107241,0,0,1,0,0,1,0,0,220,772,144,29,252993536912,252993535747,0,220,0,94,137,4
31,0,1682,25710,1090286,0,0,1,0,0,1,0,0,222,864,143,34,252993538314,252993537051,0,222,0,95,137,4
32,0,1682,25711,1091013,0,0,1,0,0,1,0,0,221,780,143,30,252993539608,252993538434,0,221,0,94,137,4
33,0,1682,25728,1091033,0,0,1,0,0,1,0,0,408,1029,188,30,252993597540,252993595885,0,408,0,252,86,4
34,0,1682,25729,1157444,0,0,1,0,0,1,0,0,226,824,144,29,252993598946,252993597723,0,226,0,94,86,4
35,0,1682,25730,1157475,0,0,1,0,0,1,0,0,224,821,144,30,252993600285,252993599066,0,224,0,95,86,4
36,0,1682,25731,1183293,0,0,1,0,0,1,0,0,223,793,143,31,252993601600,252993600410,0,223,0,96,86,4
37,0,1682,25732,1092675,0,0,1,0,0,1,0,0,249,880,142,30,252993603177,252993601876,0,249,0,124,86,4
38,0,1682,25733,1131649,0,0,1,0,0,1,0,0,233,928,142,30,252993604949,252993603616,0,233,0,108,86,4
39,0,1682,25734,1158525,0,0,1,0,0,1,0,0,223,914,143,29,252993606662,252993605353,0,223,0,94,86,4
40,0,1682,25735,1158527,0,0,1,0,0,1,0,0,219,834,143,30,252993608195,252993606969,0,219,0,92,86,4
41,0,1682,25752,1158666,0,0,1,0,0,1,0,0,276,1143,142,31,252993610189,252993608597,0,276,0,149,86,4
42,0,1682,25753,1157456,0,0,1,0,0,1,0,0,218,875,143,31,252993611882,252993610615,0,218,0,94,86,4
