config,phase,thread_id,ops,bytes,dur_ns,p50_ns,p95_ns,p99_ns,p999_ns,mean_ns,stddev_ns,n_samples
E_rand_read_t4_c512,baseline,0,284502820,2276022560,10000147191,156.0,195.0,469.0,524.0,164.6,110.1,10000
E_rand_read_t4_c512,baseline,1,143955841,1151646728,9992155474,156.0,214.0,483.0,558.0,171.7,207.4,10000
E_rand_read_t4_c512,migration,0,1143423132,9147385056,30000323701,104.0,173.0,450.0,515.0,121.4,98.0,10000
E_rand_read_t4_c512,migration,1,1175403776,9403230208,30000295436,104.0,179.0,451.0,509.0,124.7,181.1,10000
E_rand_read_t4_c512,steady,0,396744384,3173955072,10000146625,103.0,159.0,446.0,504.0,117.6,65.7,10000
E_rand_read_t4_c512,steady,1,387898121,3103184968,10000161422,103.0,159.0,447.0,508.0,124.7,555.7,10000
