config,phase,thread_id,ops,bytes,dur_ns,p50_ns,p95_ns,p99_ns,p999_ns,mean_ns,stddev_ns,n_samples
E_rand_rmw_t4_c1,baseline,0,103672272,829378176,9984264345,188.0,251.0,519.0,582.0,199.7,154.7,10000
E_rand_rmw_t4_c1,baseline,1,61985295,495882360,10000216305,188.0,245.0,514.0,578.0,197.9,110.1,10000
E_rand_rmw_t4_c1,migration,0,367107388,2936859104,30000364718,189.0,251.0,521.0,589.0,201.7,397.9,10000
E_rand_rmw_t4_c1,migration,1,217104133,1736833064,30000933711,189.0,248.0,525.0,575.0,198.2,148.9,10000
E_rand_rmw_t4_c1,steady,0,124878319,999026552,10000118761,187.0,246.0,521.0,592.0,192.4,110.6,10000
E_rand_rmw_t4_c1,steady,1,124493423,995947384,9999524631,187.0,248.0,518.0,589.0,192.0,127.3,10000
