seq,cpu,pid,src_pfn,dst_pfn,page_order,src_nid,dst_nid,mapcount,is_anon,page_was_mapped,lock_contended,lock_ns,unmap_ns,copy_ns,remap_ns,unlock_ns,total_ns,overhead_ns,result,try_migrate_ns,rwsem_wait_ns,ptl_wait_ns,ipi_wait_ns,online_cpus
1,0,1685,27382,1087955,0,0,1,0,0,1,0,0,3244,3747,911,95,303469020024,303469012027,0,3244,0,1371,4162,4
2,0,1685,27383,1087984,0,0,1,0,0,1,0,0,873,1221,323,46,303469951089,303469948626,0,873,0,422,500,4
3,0,1685,27368,1088066,0,0,1,0,0,1,0,0,689,1125,328,44,303470870424,303470868238,0,689,0,308,37837,4
4,0,1685,27369,1088110,0,0,1,0,0,1,0,0,694,1122,326,47,303471745273,303471743084,0,694,0,304,19389,4
5,0,1685,27370,1087898,0,0,1,0,0,1,0,0,737,1229,276,47,303472639587,303472637298,0,737,0,354,2943,4
6,0,1685,27371,1088178,0,0,1,0,0,1,0,0,682,1015,289,45,303473526201,303473524170,0,682,0,309,3216,4
7,0,1685,27372,1088180,0,0,1,0,0,1,0,0,722,1120,272,45,303474385374,303474383215,0,722,0,362,2671,4
8,0,1685,27373,1086678,0,0,1,0,0,1,0,0,726,1069,273,45,303475245269,303475243156,0,726,0,363,2618,4
9,0,1685,27374,1090374,0,0,1,0,0,1,0,0,669,1083,267,45,303476108811,303476106747,0,669,0,305,2760,4
10,0,1685,27375,1087300,0,0,1,0,0,1,0,0,1952,2478,461,96,303488098633,303488093646,0,1952,0,781,4328,4
11,0,1685,27352,1086853,0,0,1,0,0,1,0,0,785,1192,307,48,303488990574,303488988242,0,785,0,374,3036,4
12,0,1685,27353,1087107,0,0,1,0,0,1,0,0,707,1054,270,47,303489867626,303489865548,0,707,0,322,411,4
13,0,1685,27354,1086867,0,0,1,0,0,1,0,0,699,1266,276,46,303490746623,303490744336,0,699,0,319,3166,4
14,0,1685,27355,1086859,0,0,1,0,0,1,0,0,688,1078,293,47,303491626686,303491624580,0,688,0,311,3294,4
15,0,1685,27356,1086860,0,0,1,0,0,1,0,0,746,1089,284,46,303492535116,303492532951,0,746,0,380,3639,4
16,0,1685,27357,1086863,0,0,1,0,0,1,0,0,743,1052,281,47,303493432492,303493430369,0,743,0,374,3249,4
17,0,1685,27358,1090558,0,0,1,0,0,1,0,0,691,1076,283,48,303494309662,303494307564,0,691,0,314,3146,4
18,0,1685,27359,1086920,0,0,1,0,0,1,0,0,713,1056,286,48,303495193147,303495191044,0,713,0,321,3314,4
19,0,1685,26960,1086898,0,0,1,0,0,1,0,0,694,1314,291,46,303496076086,303496073741,0,694,0,329,3189,4
20,0,1685,26961,1088488,0,0,1,0,0,1,0,0,679,1137,294,49,303496963608,303496961449,0,679,0,308,3099,4
21,0,1685,26962,1132322,0,0,1,0,0,1,0,0,1852,2879,450,92,303508093131,303508087858,0,1852,0,779,606,4
22,0,1685,26963,1086818,0,0,1,0,0,1,0,0,825,1407,351,45,303508950890,303508948262,0,825,0,336,3301,4
23,0,1685,26964,1132346,0,0,1,0,0,1,0,0,731,1024,260,45,303509783020,303509780960,0,731,0,371,3163,4
24,0,1685,26965,1132401,0,0,1,0,0,1,0,0,683,1050,259,45,303510623195,303510621158,0,683,0,314,3178,4
25,0,1685,26966,1086902,0,0,1,0,0,1,0,0,640,1016,264,45,303511456052,303511454087,0,640,0,290,3162,4
26,0,1685,26967,1086923,0,0,1,0,0,1,0,0,644,1036,275,45,303512295862,303512293862,0,644,0,290,3030,4
27,0,1685,26888,1088194,0,0,1,0,0,1,0,0,649,1063,268,45,303513128521,303513126496,0,649,0,300,3315,4
28,0,1685,26889,1086900,0,0,1,0,0,1,0,0,718,1120,279,45,303513960962,303513958800,0,718,0,362,2966,4
29,0,1685,26890,1086906,0,0,1,0,0,1,0,0,721,1146,269,46,303514791473,303514789291,0,721,0,360,2991,4
30,0,1685,26891,1132311,0,0,1,0,0,1,0,0,649,1078,271,45,303515629102,303515627059,0,649,0,295,3177,4
31,0,1685,26892,1090913,0,0,1,0,0,1,0,0,645,1128,273,44,303516469971,303516467881,0,645,0,292,3075,4
32,0,1685,26893,1086913,0,0,1,0,0,1,0,0,1789,2229,475,92,303528098456,303528093871,0,1789,0,709,4317,4
33,0,1685,26894,1086915,0,0,1,0,0,1,0,0,787,1068,276,44,303528953422,303528951247,0,787,0,386,393,4
34,0,1685,26895,1170758,0,0,1,0,0,1,0,0,734,1024,267,45,303529803711,303529801641,0,734,0,360,3204,4
35,0,1685,26584,1112680,0,0,1,0,0,1,0,0,650,1067,266,45,303530635570,303530633542,0,650,0,298,3682,4
36,0,1685,26585,1086909,0,0,1,0,0,1,0,0,646,1123,282,45,303531468484,303531466388,0,646,0,291,3173,4
37,0,1685,26586,1088236,0,0,1,0,0,1,0,0,770,1128,279,45,303532309236,303532307014,0,770,0,412,3193,4
38,0,1685,26587,1090554,0,0,1,0,0,1,0,0,655,1001,277,45,303533141420,303533139442,0,655,0,298,3184,4
39,0,1685,26588,1088362,0,0,1,0,0,1,0,0,708,1130,282,44,303533973537,303533971373,0,708,0,347,3006,4
40,0,1685,26589,1092100,0,0,1,0,0,1,0,0,656,1043,267,44,303534803177,303534801167,0,656,0,295,2920,4
41,0,1685,26590,1088458,0,0,1,0,0,1,0,0,725,995,271,45,303535635454,303535633418,0,725,0,362,3331,4
42,0,1685,26591,1092097,0,0,1,0,0,1,0,0,660,1107,275,45,303536476258,303536474171,0,660,0,307,3195,4
43,0,1685,26536,1086927,0,0,1,0,0,1,0,0,1745,2355,478,77,303548132856,303548128201,0,1745,0,641,4017,4
44,0,1685,26537,1088207,0,0,1,0,0,1,0,0,760,1192,309,46,303548986988,303548984681,0,760,0,378,3103,4
45,0,1685,26538,1088200,0,0,1,0,0,1,0,0,734,1120,270,45,303549818331,303549816162,0,734,0,372,3027,4
46,0,1685,26539,1132314,0,0,1,0,0,1,0,0,732,1036,262,41,303549865075,303549863004,0,732,0,368,344,4
47,0,1685,26540,1086849,0,0,1,0,0,1,0,0,690,1033,273,44,303550703197,303550701157,0,690,0,313,3144,4
48,0,1685,26541,1086680,0,0,1,0,0,1,0,0,653,1079,282,44,303551537003,303551534945,0,653,0,295,2997,4
49,0,1685,26542,1088108,0,0,1,0,0,1,0,0,656,1043,279,44,303552378285,303552376263,0,656,0,295,3448,4
50,0,1685,26543,1088109,0,0,1,0,0,1,0,0,671,1039,277,44,303553210287,303553208256,0,671,0,303,3176,4
51,0,1685,26520,1088174,0,0,1,0,0,1,0,0,654,1074,278,44,303554041780,303554039730,0,654,0,299,3022,4
52,0,1685,26521,1088175,0,0,1,0,0,1,0,0,650,1049,281,43,303554874477,303554872454,0,650,0,295,2700,4
53,0,1685,26522,1088176,0,0,1,0,0,1,0,0,660,1166,276,44,303555703921,303555701775,0,660,0,299,2936,4
54,0,1685,26523,1088177,0,0,1,0,0,1,0,0,651,1045,283,43,303556545398,303556543376,0,651,0,296,3158,4
55,0,1685,26524,1086668,0,0,1,0,0,1,0,0,1486,2301,453,84,303568196778,303568192454,0,1486,0,604,4590,4
56,0,1685,26525,1086669,0,0,1,0,0,1,0,0,717,1123,265,30,303569048479,303569046344,0,717,0,347,446,4
57,0,1685,26526,1086682,0,0,1,0,0,1,0,0,717,1502,291,38,303569913932,303569911384,0,717,0,371,2978,4
58,0,1685,26527,1086683,0,0,1,0,0,1,0,0,726,1038,283,38,303570740327,303570738242,0,726,0,371,2810,4
59,0,1685,26384,1086850,0,0,1,0,0,1,0,0,651,1053,286,37,303571570313,303571568286,0,651,0,300,2745,4
60,0,1685,26385,1086851,0,0,1,0,0,1,0,0,724,1045,281,45,303572408826,303572406731,0,724,0,375,3237,4
61,0,1685,26386,1086864,0,0,1,0,0,1,0,0,661,1196,284,45,303573238377,303573236191,0,661,0,301,3220,4
62,0,1685,26387,1086865,0,0,1,0,0,1,0,0,660,1029,278,45,303574067246,303574065234,0,660,0,305,2824,4
63,0,1685,26388,1086854,0,0,1,0,0,1,0,0,657,1051,284,46,303574895353,303574893315,0,657,0,301,2695,4
64,0,1685,26389,1086855,0,0,1,0,0,1,0,0,738,1021,273,45,303575724173,303575722096,0,738,0,383,2940,4
65,0,1685,26390,1086856,0,0,1,0,0,1,0,0,646,1355,281,44,303576560979,303576558653,0,646,0,300,2992,4
66,0,1685,26391,1086857,0,0,1,0,0,1,0,0,1762,2313,442,76,303588112110,303588107517,0,1762,0,714,4124,4
67,0,1685,26360,1088190,0,0,1,0,0,1,0,0,809,1035,267,45,303588965628,303588963472,0,809,0,380,424,4
68,0,1685,26361,1088191,0,0,1,0,0,1,0,0,694,1493,273,44,303589825797,303589823293,0,694,0,318,3065,4
69,0,1685,26362,1132386,0,0,1,0,0,1,0,0,675,1010,268,45,303590662691,303590660693,0,675,0,314,2972,4
70,0,1685,26363,1132387,0,0,1,0,0,1,0,0,652,1205,275,45,303591491823,303591489646,0,652,0,303,2818,4
71,0,1685,26364,1088202,0,0,1,0,0,1,0,0,727,1054,282,45,303592329689,303592327581,0,727,0,389,3100,4
72,0,1685,26365,1088203,0,0,1,0,0,1,0,0,685,1080,278,45,303593162183,303593160095,0,685,0,325,3033,4
73,0,1685,26366,1132312,0,0,1,0,0,1,0,0,765,1088,285,47,303594030398,303594028213,0,765,0,390,3010,4
74,0,1685,26367,1132313,0,0,1,0,0,1,0,0,734,1123,302,47,303594904048,303594901842,0,734,0,368,2777,4
75,0,1685,25840,1086924,0,0,1,0,0,1,0,0,747,1411,288,47,303595776100,303595773607,0,747,0,379,3332,4
76,0,1685,25841,1086925,0,0,1,0,0,1,0,0,1857,2443,471,94,303608092910,303608088045,0,1857,0,754,3807,4
77,0,1685,25842,1088204,0,0,1,0,0,1,0,0,785,1093,341,44,303608943356,303608941093,0,785,0,409,3163,4
