config,phase,thread_id,ops,bytes,dur_ns,p50_ns,p95_ns,p99_ns,p999_ns,mean_ns,stddev_ns,n_samples
E_rand_rmw_t4_c512,baseline,0,117131603,937052824,10000166390,189.0,259.0,522.0,577.0,201.5,319.1,10000
E_rand_rmw_t4_c512,baseline,1,60876307,487010456,9992137445,189.0,274.0,521.0,574.0,201.1,103.4,10000
E_rand_rmw_t4_c512,migration,0,438739344,3509914752,30000271964,134.0,206.0,448.0,530.0,151.7,442.1,10000
E_rand_rmw_t4_c512,migration,1,469034157,3752273256,30000287665,135.0,211.0,454.0,520.0,153.8,380.1,10000
E_rand_rmw_t4_c512,steady,0,162093504,1296748032,10000125129,132.0,183.0,448.0,502.0,142.8,122.0,10000
E_rand_rmw_t4_c512,steady,1,161068622,1288548976,10000131401,133.0,181.0,445.0,502.0,141.3,87.5,10000
