seq,cpu,pid,src_pfn,dst_pfn,page_order,src_nid,dst_nid,mapcount,is_anon,page_was_mapped,lock_contended,lock_ns,unmap_ns,copy_ns,remap_ns,unlock_ns,total_ns,overhead_ns,result,try_migrate_ns,rwsem_wait_ns,ptl_wait_ns,ipi_wait_ns,online_cpus
1,0,1514,25560,1134059,0,0,1,0,1,1,0,0,8948,6977,887,90,38531396125,38531379223,0,8948,99,1705,4,4
2,0,1514,25561,1106965,0,0,1,0,1,1,0,0,1030,549,208,34,38531398269,38531396448,0,1030,46,623,4,4
3,0,1514,25562,1103299,0,0,1,0,1,1,0,0,781,503,181,34,38531399374,38531397875,0,781,37,512,4,4
4,0,1514,25563,1103298,0,0,1,0,1,1,0,0,786,513,182,33,38531400484,38531398970,0,786,33,514,4,4
5,0,1514,25564,1106970,0,0,1,0,1,1,0,0,799,756,183,35,38531401827,38531400054,0,799,33,529,4,4
6,0,1514,25565,1106964,0,0,1,0,1,1,0,0,779,494,181,34,38531402890,38531401402,0,779,34,509,4,4
7,0,1514,25566,1134060,0,0,1,0,1,1,0,0,791,644,183,35,38531404095,38531402442,0,791,33,525,4,4
8,0,1514,25567,1194525,0,0,1,0,1,1,0,0,759,461,183,33,38531405128,38531403692,0,759,33,489,4,4
9,0,1514,25568,1189361,0,0,1,0,1,1,0,0,974,470,284,34,38531406273,38531404511,0,974,62,498,4,4
10,0,1514,25569,1106963,0,0,1,0,1,1,0,0,804,860,202,34,38531407720,38531405820,0,804,33,503,4,4
11,0,1514,25570,1192580,0,0,1,0,1,1,0,0,785,521,184,34,38531408810,38531407286,0,785,33,507,4,4
12,0,1514,25571,1165189,0,0,1,0,1,1,0,0,780,510,185,34,38531409891,38531408382,0,780,33,504,4,4
13,0,1514,25826,1165196,0,0,1,0,1,1,0,0,795,636,186,34,38531411126,38531409475,0,795,33,518,4,4
14,0,1514,25827,1167227,0,0,1,0,1,1,0,0,767,551,184,35,38531412258,38531410721,0,767,34,494,4,4
15,0,1514,25828,1165194,0,0,1,0,1,1,0,0,809,522,203,35,38531413371,38531411802,0,809,44,490,4,4
16,0,1514,25829,1165195,0,0,1,0,1,1,0,0,782,536,180,34,38531414479,38531412947,0,782,34,497,4,4
17,0,1514,25830,1174049,0,0,1,0,1,1,0,0,779,809,183,35,38531415863,38531414057,0,779,33,513,4,4
18,0,1514,25831,1165192,0,0,1,0,1,1,0,0,780,522,181,34,38531417011,38531415494,0,780,33,514,4,4
19,0,1514,25856,1165190,0,0,1,0,1,1,0,0,828,623,206,34,38531418425,38531416734,0,828,44,514,4,4
20,0,1514,25857,1174046,0,0,1,0,1,1,0,0,814,534,193,35,38531419746,38531418170,0,814,33,525,4,4
