seq,cpu,pid,src_pfn,dst_pfn,page_order,src_nid,dst_nid,mapcount,is_anon,page_was_mapped,lock_contended,lock_ns,unmap_ns,copy_ns,remap_ns,unlock_ns,total_ns,overhead_ns,result,try_migrate_ns,rwsem_wait_ns,ptl_wait_ns,ipi_wait_ns,online_cpus
1,0,1514,39535,1189432,0,0,1,0,0,1,0,0,31565,4675,2757,90,39851979162,39851940075,0,31565,0,11079,5,4
2,0,1514,96774,1189433,0,0,1,0,0,1,0,0,9694,1128,2006,31,39851984837,39851971978,0,9694,0,2563,5,4
3,0,1514,96781,1189434,0,0,1,0,0,1,0,0,7571,1005,1783,32,39851988648,39851978257,0,7571,0,2453,5,4
4,0,1514,96783,1189435,0,0,1,0,0,1,0,0,7646,887,1742,31,39851993056,39851982750,0,7646,0,2492,5,4
5,0,1514,96792,1189436,0,0,1,0,0,1,0,0,7681,897,1625,31,39851996130,39851985896,0,7681,0,2397,5,4
6,0,1514,96796,1189437,0,0,1,0,0,1,0,0,7561,870,1633,33,39851999043,39851988946,0,7561,0,2430,5,4
7,0,1514,96808,1189438,0,0,1,0,0,1,0,0,9327,945,1623,32,39852002213,39851990286,0,9327,0,2509,5,4
8,0,1514,96872,1189439,0,0,1,0,0,1,0,0,7378,1173,1598,32,39852005597,39851995416,0,7378,0,2399,5,4
9,0,1514,96876,1189440,0,0,1,0,0,1,0,0,7821,969,1728,32,39852008893,39851998343,0,7821,0,2783,5,4
10,0,1514,96878,1189441,0,0,1,0,0,1,0,0,6893,970,1584,34,39852012158,39852002677,0,6893,0,2460,5,4
11,0,1514,96887,1189442,0,0,1,0,0,1,0,0,7311,889,1596,31,39852015217,39852005390,0,7311,0,2406,5,4
12,0,1514,96889,1189443,0,0,1,0,0,1,0,0,9338,1091,1672,31,39852018416,39852006284,0,9338,0,2394,5,4
13,0,1514,96890,1189444,0,0,1,0,0,1,0,0,7099,796,1619,32,39852021251,39852011705,0,7099,0,2504,5,4
14,0,1514,96900,1189445,0,0,1,0,0,1,0,0,7198,888,1630,31,39852024196,39852014449,0,7198,0,2484,5,4
15,0,1514,96909,1189446,0,0,1,0,0,1,0,0,6926,880,1617,32,39852027139,39852017684,0,6926,0,2449,5,4
16,0,1514,96921,1189447,0,0,1,0,0,1,0,0,7513,1205,1618,32,39852030518,39852020150,0,7513,0,2381,5,4
17,0,1514,96933,1189448,0,0,1,0,0,1,0,0,30184,913,1600,32,39852033457,39852000728,0,30184,0,21348,5,4
18,0,1514,96941,1189449,0,0,1,0,0,1,0,0,7607,1220,1595,32,39852036699,39852026245,0,7607,0,2516,5,4
19,0,1514,96946,1189450,0,0,1,0,0,1,0,0,7275,816,1612,31,39852039698,39852029964,0,7275,0,2413,5,4
20,0,1514,96950,1189451,0,0,1,0,0,1,0,0,7082,878,1654,32,39852042837,39852033191,0,7082,0,2406,5,4
21,0,1514,96952,1189452,0,0,1,0,0,1,0,0,7163,839,1631,32,39852045743,39852036078,0,7163,0,2414,5,4
22,0,1514,96957,1189453,0,0,1,0,0,1,0,0,9403,823,1642,31,39852048631,39852036732,0,9403,0,2437,5,4
23,0,1514,96960,1189454,0,0,1,0,0,1,0,0,7081,880,1615,32,39852051673,39852042065,0,7081,0,2455,5,4
24,0,1514,96964,1189455,0,0,1,0,0,1,0,0,6810,775,1608,31,39852054478,39852045254,0,6810,0,2415,5,4
25,0,1514,96969,1189456,0,0,1,0,0,1,0,0,6998,974,1626,32,39852057625,39852047995,0,6998,0,2444,5,4
26,0,1514,96973,1189457,0,0,1,0,0,1,0,0,7873,1018,1760,32,39852060827,39852050144,0,7873,0,2438,5,4
27,0,1514,96975,1189458,0,0,1,0,0,1,0,0,8615,838,1633,32,39852063723,39852052605,0,8615,0,2424,5,4
28,0,1514,96977,1189459,0,0,1,0,0,1,0,0,7027,790,1609,31,39852066544,39852057087,0,7027,0,2447,5,4
29,0,1514,96989,1189460,0,0,1,0,0,1,0,0,9437,995,1654,31,39852069628,39852057511,0,9437,0,2449,5,4
30,0,1514,96993,1189461,0,0,1,0,0,1,0,0,7342,950,1609,32,39852072726,39852062793,0,7342,0,2465,5,4
31,0,1514,96994,1189462,0,0,1,0,0,1,0,0,6972,818,1612,32,39852075588,39852066154,0,6972,0,2436,5,4
32,0,1514,97125,1189463,0,0,1,0,0,1,0,0,7234,966,1618,32,39852078597,39852068747,0,7234,0,2465,5,4
33,0,1514,98538,1189464,0,0,1,0,0,1,0,0,7917,1784,1768,33,39852417297,39852405795,0,7917,0,3064,1,4
34,0,1514,98737,1189465,0,0,1,0,0,1,0,0,7234,853,1609,32,39852420518,39852410790,0,7234,0,2373,1,4
35,0,1514,98774,1189466,0,0,1,0,0,1,0,0,7264,876,1553,32,39852423372,39852413647,0,7264,0,2393,1,4
36,0,1514,102179,1189467,0,0,1,0,0,1,0,0,9526,1009,1663,31,39852426786,39852414557,0,9526,0,2415,1,4
37,0,1514,102181,1189468,0,0,1,0,0,1,0,0,7636,1124,1622,32,39852430300,39852419886,0,7636,0,2674,1,4
38,0,1514,102186,1189469,0,0,1,0,0,1,0,0,7394,976,1617,34,39852434126,39852424105,0,7394,0,2409,1,4
39,0,1514,105169,1189470,0,0,1,0,0,1,0,0,6697,1132,1630,32,39852437453,39852427962,0,6697,0,2384,1,4
