seq,cpu,pid,src_pfn,dst_pfn,page_order,src_nid,dst_nid,mapcount,is_anon,page_was_mapped,lock_contended,lock_ns,unmap_ns,copy_ns,remap_ns,unlock_ns,total_ns,overhead_ns,result,try_migrate_ns,rwsem_wait_ns,ptl_wait_ns,ipi_wait_ns,online_cpus
1,0,2214,70140,1182537,0,0,1,0,1,1,0,0,3304,2551,717,72,2444744340469,2444744333825,0,3304,107,1165,35,3
2,0,2214,70141,1182798,0,0,1,0,1,1,0,0,413,497,190,35,2444744342679,2444744341544,0,413,40,161,35,3
3,0,2214,70142,1321630,0,0,1,0,1,1,0,0,298,762,184,35,2444744344038,2444744342759,0,298,38,117,35,3
4,0,2214,70143,1181886,0,0,1,0,1,1,0,0,288,499,185,34,2444744345155,2444744344149,0,288,33,106,35,3
5,0,2214,70522,1181435,0,0,1,0,1,1,0,0,283,683,182,35,2444744346472,2444744345289,0,283,34,107,35,3
6,0,2214,70523,1181110,0,0,1,0,1,1,0,0,349,459,204,35,2444744347525,2444744346478,0,349,56,107,35,3
7,0,2214,71456,1321459,0,0,1,0,1,1,0,0,297,546,199,34,2444744348668,2444744347592,0,297,34,107,35,3
8,0,2214,71457,1182093,0,0,1,0,1,1,0,0,282,633,186,34,2444744349874,2444744348739,0,282,35,105,35,3
9,0,2214,71458,1181439,0,0,1,0,1,1,0,0,284,495,188,35,2444744350939,2444744349937,0,284,36,108,35,3
10,0,2214,71459,1181700,0,0,1,0,1,1,0,0,288,481,185,34,2444744351987,2444744350999,0,288,34,106,35,3
11,0,2214,71460,1182557,0,0,1,0,1,1,0,0,286,470,183,34,2444744353027,2444744352054,0,286,34,108,35,3
12,0,2214,71461,1181710,0,0,1,0,1,1,0,0,284,477,183,33,2444744354076,2444744353099,0,284,35,106,35,3
13,0,2214,71462,1181707,0,0,1,0,1,1,0,0,285,562,184,34,2444744355211,2444744354146,0,285,35,106,35,3
14,0,2214,71463,1134360,0,0,1,0,1,1,0,0,282,475,189,34,2444744356266,2444744355286,0,282,34,107,35,3
15,0,2214,72416,1106640,0,0,1,0,1,1,0,0,283,861,184,35,2444744357715,2444744356352,0,283,35,105,35,3
16,0,2214,72417,1180022,0,0,1,0,1,1,0,0,282,464,185,35,2444744358750,2444744357784,0,282,33,107,35,3
17,0,2214,72418,1181779,0,0,1,0,1,1,0,0,281,492,184,34,2444744359836,2444744358845,0,281,35,106,35,3
18,0,2214,72419,1181704,0,0,1,0,1,1,0,0,282,451,186,34,2444744360872,2444744359919,0,282,34,108,35,3
19,0,2214,72420,1181824,0,0,1,0,1,1,0,0,302,518,184,35,2444744361983,2444744360944,0,302,33,127,35,3
20,0,2214,72421,1181111,0,0,1,0,1,1,0,0,282,535,186,34,2444744363137,2444744362100,0,282,34,106,35,3
21,0,2214,72422,1182574,0,0,1,0,1,1,0,0,285,527,185,34,2444744364282,2444744363251,0,285,35,106,35,3
22,0,2214,72423,1181734,0,0,1,0,1,1,0,0,280,643,188,34,2444744365543,2444744364398,0,280,35,105,35,3
23,0,2214,73088,1181999,0,0,1,0,1,1,0,0,280,607,187,35,2444744366743,2444744365634,0,280,34,104,35,3
24,0,2214,73089,1182548,0,0,1,0,1,1,0,0,295,500,203,34,2444744367832,2444744366800,0,295,35,107,35,3
25,0,2214,73090,1181622,0,0,1,0,1,1,0,0,300,488,183,35,2444744368886,2444744367880,0,300,36,106,35,3
26,0,2214,73091,1156842,0,0,1,0,1,1,0,0,285,465,180,35,2444744369937,2444744368972,0,285,36,106,35,3
27,0,2214,73092,1181736,0,0,1,0,1,1,0,0,280,477,186,34,2444744371001,2444744370024,0,280,34,105,35,3
28,0,2214,73093,1073407,0,0,1,0,1,1,0,0,283,500,185,34,2444744372063,2444744371061,0,283,34,105,35,3
29,0,2214,73094,1181130,0,0,1,0,1,1,0,0,282,733,184,34,2444744373376,2444744372143,0,282,34,105,35,3
30,0,2214,73095,1179913,0,0,1,0,1,1,0,0,287,445,183,34,2444744374397,2444744373448,0,287,36,106,35,3
31,0,2214,83690,1181977,0,0,1,0,1,1,0,0,285,829,181,37,2444744375795,2444744374463,0,285,35,106,35,3
32,0,2214,83691,1179984,0,0,1,0,1,1,0,0,281,604,185,35,2444744376966,2444744375861,0,281,34,104,35,3
33,0,2214,83692,1182032,0,0,1,0,1,1,0,0,424,642,211,35,2444744439186,2444744437874,0,424,35,210,8,3
34,0,2214,83693,1182541,0,0,1,0,1,1,0,0,308,522,185,34,2444744440322,2444744439273,0,308,35,127,8,3
35,0,2214,83694,1182600,0,0,1,0,1,1,0,0,309,487,186,36,2444744441418,2444744440400,0,309,35,106,8,3
36,0,2214,83695,1154168,0,0,1,0,1,1,0,0,285,541,181,34,2444744442527,2444744441486,0,285,36,107,8,3
37,0,2214,89464,1181554,0,0,1,0,1,1,0,0,283,586,185,34,2444744443683,2444744442595,0,283,34,107,8,3
38,0,2214,89465,1181914,0,0,1,0,1,1,0,0,281,448,184,35,2444744444773,2444744443825,0,281,36,105,8,3
39,0,2214,89726,1185090,0,0,1,0,1,1,0,0,389,575,214,34,2444744445964,2444744444752,0,389,37,186,8,3
40,0,2214,89727,1181116,0,0,1,0,1,1,0,0,290,468,184,34,2444744447042,2444744446066,0,290,33,113,8,3
41,0,2214,101920,1182544,0,0,1,0,1,1,0,0,298,625,186,35,2444744448263,2444744447119,0,298,34,121,8,3
42,0,2214,101921,1334231,0,0,1,0,1,1,0,0,285,492,183,34,2444744449394,2444744448400,0,285,35,107,8,3
43,0,2214,102030,1334232,0,0,1,0,1,1,0,0,280,582,186,35,2444744450594,2444744449511,0,280,34,105,8,3
44,0,2214,102031,1334233,0,0,1,0,1,1,0,0,284,491,198,35,2444744451692,2444744450684,0,284,36,106,8,3
45,0,2214,107189,1334234,0,0,1,0,1,1,0,0,282,599,183,35,2444744452891,2444744451792,0,282,35,107,8,3
46,0,2214,107429,1334235,0,0,1,0,1,1,0,0,287,558,183,35,2444744454040,2444744452977,0,287,36,108,8,3
47,0,2214,108032,1334236,0,0,1,0,1,1,0,0,308,506,238,36,2444744455225,2444744454137,0,308,34,105,8,3
48,0,2214,108033,1334237,0,0,1,0,1,1,0,0,284,679,197,35,2444744456522,2444744455327,0,284,36,105,8,3
49,0,2214,108034,1334238,0,0,1,0,1,1,0,0,313,485,183,34,2444744457583,2444744456568,0,313,34,107,8,3
50,0,2214,108035,1334239,0,0,1,0,1,1,0,0,283,450,192,35,2444744458629,2444744457669,0,283,34,106,8,3
51,0,2214,109056,1334240,0,0,1,0,1,1,0,0,289,535,184,35,2444744459738,2444744458695,0,289,35,106,8,3
52,0,2214,109057,1334241,0,0,1,0,1,1,0,0,311,468,187,34,2444744460778,2444744459778,0,311,35,105,8,3
53,0,2214,109058,1334242,0,0,1,0,1,1,0,0,310,482,184,35,2444744461828,2444744460817,0,310,34,104,8,3
54,0,2214,109059,1334243,0,0,1,0,1,1,0,0,285,459,184,34,2444744462853,2444744461891,0,285,33,107,8,3
55,0,2214,109060,1334244,0,0,1,0,1,1,0,0,282,482,186,35,2444744463926,2444744462941,0,282,33,106,8,3
56,0,2214,109061,1334245,0,0,1,0,1,1,0,0,308,461,186,34,2444744464958,2444744463969,0,308,34,104,8,3
57,0,2214,109062,1334246,0,0,1,0,1,1,0,0,283,481,181,34,2444744466013,2444744465034,0,283,36,107,8,3
58,0,2214,109063,1334247,0,0,1,0,1,1,0,0,281,458,184,34,2444744467048,2444744466091,0,281,34,105,8,3
59,0,2214,109064,1334248,0,0,1,0,1,1,0,0,284,485,181,35,2444744468103,2444744467118,0,284,35,106,8,3
60,0,2214,109065,1334249,0,0,1,0,1,1,0,0,285,473,184,34,2444744469174,2444744468198,0,285,34,104,8,3
61,0,2214,109066,1334250,0,0,1,0,1,1,0,0,282,508,181,34,2444744470294,2444744469289,0,282,36,105,8,3
62,0,2214,109067,1334251,0,0,1,0,1,1,0,0,281,506,183,34,2444744471374,2444744470370,0,281,35,105,8,3
63,0,2214,109068,1334252,0,0,1,0,1,1,0,0,284,520,183,34,2444744472484,2444744471463,0,284,36,105,8,3
64,0,2214,109069,1334253,0,0,1,0,1,1,0,0,360,466,209,34,2444744473588,2444744472519,0,360,34,118,8,3
65,0,2214,109070,1334254,0,0,1,0,1,1,0,0,365,497,235,33,2444744538153,2444744537023,0,365,36,146,5,3
66,0,2214,109071,1334255,0,0,1,0,1,1,0,0,284,445,183,35,2444744539200,2444744538253,0,284,33,108,5,3
67,0,2214,109072,1334256,0,0,1,0,1,1,0,0,283,470,185,34,2444744540243,2444744539271,0,283,34,106,5,3
68,0,2214,109073,1334257,0,0,1,0,1,1,0,0,280,447,183,35,2444744541255,2444744540310,0,280,34,106,5,3
69,0,2214,109074,1334258,0,0,1,0,1,1,0,0,287,448,187,34,2444744542274,2444744541318,0,287,34,108,5,3
70,0,2214,109075,1334259,0,0,1,0,1,1,0,0,286,451,182,35,2444744543327,2444744542373,0,286,35,108,5,3
71,0,2214,109076,1334260,0,0,1,0,1,1,0,0,290,466,183,34,2444744544412,2444744543439,0,290,33,113,5,3
72,0,2214,109077,1334261,0,0,1,0,1,1,0,0,280,720,182,35,2444744545718,2444744544501,0,280,34,105,5,3
73,0,2214,109078,1334262,0,0,1,0,1,1,0,0,282,669,183,35,2444744546998,2444744545829,0,282,33,109,5,3
74,0,2214,109079,1334263,0,0,1,0,1,1,0,0,287,469,180,34,2444744548057,2444744547087,0,287,34,107,5,3
75,0,2214,109080,1334264,0,0,1,0,1,1,0,0,288,466,182,35,2444744549122,2444744548151,0,288,36,112,5,3
76,0,2214,109081,1334265,0,0,1,0,1,1,0,0,303,445,208,35,2444744550218,2444744549227,0,303,36,109,5,3
77,0,2214,109082,1334266,0,0,1,0,1,1,0,0,283,466,191,34,2444744551275,2444744550301,0,283,34,105,5,3
