seq,cpu,pid,src_pfn,dst_pfn,page_order,src_nid,dst_nid,mapcount,is_anon,page_was_mapped,lock_contended,lock_ns,unmap_ns,copy_ns,remap_ns,unlock_ns,total_ns,overhead_ns,result,try_migrate_ns,rwsem_wait_ns,ptl_wait_ns,ipi_wait_ns,online_cpus
1,0,2364,21931,1250954,0,0,1,0,1,1,0,0,5065,2203,945,77,2447184248130,2447184239840,0,5065,102,2428,7,2
2,0,2364,22088,1249284,0,0,1,0,1,1,0,0,956,890,213,35,2447184250817,2447184248723,0,956,34,612,7,2
3,0,2364,22109,1185193,0,0,1,0,1,1,0,0,800,670,187,35,2447184252097,2447184250405,0,800,34,531,7,2
4,0,2364,22178,1182254,0,0,1,0,1,1,0,0,891,578,215,34,2447184253323,2447184251605,0,891,71,520,7,2
5,0,2364,22228,1250938,0,0,1,0,1,1,0,0,788,585,180,34,2447184254500,2447184252913,0,788,33,501,7,2
6,0,2364,22229,1321858,0,0,1,0,1,1,0,0,838,526,181,35,2447184255586,2447184254006,0,838,33,523,7,2
7,0,2364,22855,1162325,0,0,1,0,1,1,0,0,831,586,209,35,2447184256765,2447184255104,0,831,33,529,7,2
8,0,2364,23016,1173039,0,0,1,0,1,1,0,0,852,638,180,36,2447184257997,2447184256291,0,852,34,526,7,2
9,0,2364,23017,1251324,0,0,1,0,1,1,0,0,832,542,184,35,2447184259122,2447184257529,0,832,33,518,7,2
10,0,2364,23299,1251268,0,0,1,0,1,1,0,0,833,585,207,35,2447184260297,2447184258637,0,833,33,531,7,2
11,0,2364,28156,1173479,0,0,1,0,1,1,0,0,808,603,201,33,2447184261481,2447184259836,0,808,34,522,7,2
12,0,2364,28901,1250973,0,0,1,0,1,1,0,0,819,735,201,36,2447184262809,2447184261018,0,819,33,530,7,2
13,0,2364,28911,1250977,0,0,1,0,1,1,0,0,821,792,189,34,2447184264176,2447184262340,0,821,33,531,7,2
14,0,2364,29202,1182308,0,0,1,0,1,1,0,0,795,709,190,34,2447184265481,2447184263753,0,795,34,515,7,2
15,0,2364,29570,1251282,0,0,1,0,1,1,0,0,798,785,186,35,2447184266835,2447184265031,0,798,33,516,7,2
16,0,2364,29669,1184791,0,0,1,0,1,1,0,0,795,713,190,35,2447184268120,2447184266387,0,795,36,514,7,2
17,0,2364,31040,1184646,0,0,1,0,1,1,0,0,790,581,185,36,2447184269339,2447184267747,0,790,33,508,7,2
18,0,2364,31876,1250946,0,0,1,0,1,1,0,0,769,658,185,35,2447184270584,2447184268937,0,769,34,505,7,2
19,0,2364,32223,1173256,0,0,1,0,1,1,0,0,814,1127,186,35,2447184272341,2447184270179,0,814,33,523,7,2
20,0,2364,32999,1251273,0,0,1,0,1,1,0,0,820,679,188,34,2447184273651,2447184271930,0,820,33,512,7,2
21,0,2364,33249,1249286,0,0,1,0,1,1,0,0,820,567,188,35,2447184274822,2447184273212,0,820,33,513,7,2
22,0,2364,33251,1095658,0,0,1,0,1,1,0,0,829,534,190,34,2447184275958,2447184274371,0,829,34,517,7,2
23,0,2364,33304,1181715,0,0,1,0,1,1,0,0,820,668,193,35,2447184277202,2447184275486,0,820,33,513,7,2
24,0,2364,33345,1251022,0,0,1,0,1,1,0,0,822,661,187,35,2447184278434,2447184276729,0,822,34,514,7,2
25,0,2364,33485,1161078,0,0,1,0,1,1,0,0,797,852,190,35,2447184279860,2447184277986,0,797,34,524,7,2
26,0,2364,34052,1251000,0,0,1,0,1,1,0,0,789,662,189,34,2447184281096,2447184279422,0,789,34,517,7,2
27,0,2364,34054,1250992,0,0,1,0,1,1,0,0,822,551,191,35,2447184282225,2447184280626,0,822,34,515,7,2
28,0,2364,34574,1249711,0,0,1,0,1,1,0,0,823,651,189,34,2447184283454,2447184281757,0,823,33,513,7,2
29,0,2364,34577,1097525,0,0,1,0,1,1,0,0,799,748,256,34,2447184284908,2447184283071,0,799,34,493,7,2
30,0,2364,34693,1251307,0,0,1,0,1,1,0,0,824,681,197,35,2447184286219,2447184284482,0,824,36,514,7,2
31,0,2364,35157,1250621,0,0,1,0,1,1,0,0,833,730,190,34,2447184287525,2447184285738,0,833,33,493,7,2
32,0,2364,35217,1251296,0,0,1,0,1,1,0,0,799,713,194,34,2447184288814,2447184287074,0,799,33,493,7,2
33,0,2364,35903,1250100,0,0,1,0,1,1,0,0,1214,810,254,34,2447184388322,2447184386010,0,1214,40,820,0,2
34,0,2364,35936,1251327,0,0,1,0,1,1,0,0,845,567,185,34,2447184389556,2447184387925,0,845,33,544,0,2
35,0,2364,36203,1251292,0,0,1,0,1,1,0,0,794,747,192,35,2447184390879,2447184389111,0,794,33,506,0,2
36,0,2364,36537,1251317,0,0,1,0,1,1,0,0,782,621,193,34,2447184392384,2447184390754,0,782,34,506,0,2
37,0,2364,36543,1251302,0,0,1,0,1,1,0,0,822,686,189,33,2447184393715,2447184391985,0,822,33,515,0,2
38,0,2364,36713,1251272,0,0,1,0,1,1,0,0,825,649,190,34,2447184395001,2447184393303,0,825,34,513,0,2
39,0,2364,36727,1251267,0,0,1,0,1,1,0,0,797,673,189,34,2447184396288,2447184394595,0,797,34,493,0,2
40,0,2364,37360,1251325,0,0,1,0,1,1,0,0,795,722,190,35,2447184397610,2447184395868,0,795,36,491,0,2
41,0,2364,37428,1251303,0,0,1,0,1,1,0,0,795,745,189,35,2447184398960,2447184397196,0,795,33,490,0,2
