seq,cpu,pid,src_pfn,dst_pfn,page_order,src_nid,dst_nid,mapcount,is_anon,page_was_mapped,lock_contended,lock_ns,unmap_ns,copy_ns,remap_ns,unlock_ns,total_ns,overhead_ns,result,try_migrate_ns,rwsem_wait_ns,ptl_wait_ns,ipi_wait_ns,online_cpus
43,0,2062,71263,1182273,0,0,1,0,1,1,0,0,293,439,224,35,2442251066907,2442251065916,0,293,36,106,7,4
44,0,2062,71264,1182422,0,0,1,0,1,1,0,0,287,424,196,33,2442251067938,2442251066998,0,287,36,108,7,4
45,0,2062,71265,1182282,0,0,1,0,1,1,0,0,288,439,182,34,2442251068952,2442251068009,0,288,33,109,7,4
46,0,2062,71266,1250260,0,0,1,0,1,1,0,0,308,635,184,34,2442251070153,2442251068992,0,308,35,126,7,4
47,0,2062,71267,1182656,0,0,1,0,1,1,0,0,288,605,185,35,2442251071325,2442251070212,0,288,35,108,7,4
48,0,2062,71268,1250263,0,0,1,0,1,1,0,0,295,432,183,35,2442251072328,2442251071383,0,295,34,106,7,4
49,0,2062,71269,1182679,0,0,1,0,1,1,0,0,287,453,30439,36,2442251103609,2442251072394,0,287,36,105,7,4
50,0,2062,71270,1182775,0,0,1,0,1,1,0,0,289,597,273,35,2442251105441,2442251104247,0,289,36,109,7,4
51,0,2062,71271,1182126,0,0,1,0,1,1,0,0,288,381,194,34,2442251106413,2442251105516,0,288,35,106,7,4
52,0,2062,71272,1182445,0,0,1,0,1,1,0,0,284,389,192,34,2442251107393,2442251106494,0,284,35,104,7,4
53,0,2062,71273,1110521,0,0,1,0,1,1,0,0,283,497,183,34,2442251108499,2442251107502,0,283,34,106,7,4
54,0,2062,71274,1250255,0,0,1,0,1,1,0,0,285,410,180,36,2442251109497,2442251108586,0,285,35,106,7,4
55,0,2062,71275,1249733,0,0,1,0,1,1,0,0,285,627,183,34,2442251110712,2442251109583,0,285,35,105,7,4
56,0,2062,71276,1120916,0,0,1,0,1,1,0,0,287,397,186,35,2442251111704,2442251110799,0,287,34,106,7,4
57,0,2062,71277,1091490,0,0,1,0,1,1,0,0,287,661,181,35,2442251112949,2442251111785,0,287,35,106,7,4
58,0,2062,71278,1250269,0,0,1,0,1,1,0,0,285,401,183,36,2442251114054,2442251113149,0,285,34,108,7,4
59,0,2062,71279,1250258,0,0,1,0,1,1,0,0,294,426,183,34,2442251115046,2442251114109,0,294,35,112,7,4
60,0,2062,71280,1249603,0,0,1,0,1,1,0,0,289,836,185,34,2442251116446,2442251115102,0,289,35,110,7,4
61,0,2062,71281,1084178,0,0,1,0,1,1,0,0,309,392,180,34,2442251117597,2442251116682,0,309,36,130,7,4
62,0,2062,71282,1250252,0,0,1,0,1,1,0,0,290,530,181,35,2442251118731,2442251117695,0,290,35,113,7,4
63,0,2062,71283,1250257,0,0,1,0,1,1,0,0,287,395,183,34,2442251119857,2442251118958,0,287,36,109,7,4
64,0,2062,71284,1250268,0,0,1,0,1,1,0,0,283,394,196,35,2442251120987,2442251120079,0,283,34,109,7,4
65,0,2062,71285,1250253,0,0,1,0,1,1,0,0,683,643,193,36,2442251179687,2442251178132,0,683,60,331,12,4
66,0,2062,71286,1250261,0,0,1,0,1,1,0,0,328,405,185,34,2442251180694,2442251179742,0,328,38,130,12,4
67,0,2062,71287,1335393,0,0,1,0,1,1,0,0,319,412,179,35,2442251181703,2442251180758,0,319,41,127,12,4
68,0,2062,71288,1335394,0,0,1,0,1,1,0,0,289,398,181,35,2442251182834,2442251181931,0,289,38,104,12,4
69,0,2062,71289,1335395,0,0,1,0,1,1,0,0,291,391,184,35,2442251183974,2442251183073,0,291,40,105,12,4
70,0,2062,71290,1335396,0,0,1,0,1,1,0,0,286,425,186,35,2442251185004,2442251184072,0,286,36,105,12,4
71,0,2062,71291,1335397,0,0,1,0,1,1,0,0,287,454,185,35,2442251186036,2442251185075,0,287,35,106,12,4
72,0,2062,71292,1335398,0,0,1,0,1,1,0,0,287,451,181,34,2442251187066,2442251186113,0,287,35,106,12,4
73,0,2062,71293,1335399,0,0,1,0,1,1,0,0,282,406,182,34,2442251188052,2442251187148,0,282,33,105,12,4
74,0,2062,71294,1335400,0,0,1,0,1,1,0,0,314,741,182,35,2442251189368,2442251188096,0,314,36,134,12,4
75,0,2062,71295,1335401,0,0,1,0,1,1,0,0,284,492,181,33,2442251190424,2442251189434,0,284,34,108,12,4
76,0,2062,71448,1335402,0,0,1,0,1,1,0,0,289,446,184,35,2442251191434,2442251190480,0,289,33,108,12,4
77,0,2062,71456,1335403,0,0,1,0,1,1,0,0,288,469,183,35,2442251192466,2442251191491,0,288,35,106,12,4
78,0,2062,71457,1335404,0,0,1,0,1,1,0,0,286,403,180,35,2442251193432,2442251192528,0,286,34,107,12,4
79,0,2062,71458,1335405,0,0,1,0,1,1,0,0,309,713,181,34,2442251194713,2442251193476,0,309,35,129,12,4
80,0,2062,71459,1335406,0,0,1,0,1,1,0,0,289,383,183,35,2442251195665,2442251194775,0,289,34,110,12,4
81,0,2062,71460,1335407,0,0,1,0,1,1,0,0,299,723,187,34,2442251196994,2442251195751,0,299,35,107,12,4
82,0,2062,71461,1335408,0,0,1,0,1,1,0,0,285,603,185,35,2442251198188,2442251197080,0,285,35,106,12,4
83,0,2062,71462,1335409,0,0,1,0,1,1,0,0,287,506,177,36,2442251199276,2442251198270,0,287,33,108,12,4
84,0,2062,71463,1335410,0,0,1,0,1,1,0,0,286,449,183,33,2442251200321,2442251199370,0,286,36,108,12,4
85,0,2062,72416,1335411,0,0,1,0,1,1,0,0,288,497,185,34,2442251201424,2442251200420,0,288,35,107,12,4
86,0,2062,72417,1335412,0,0,1,0,1,1,0,0,287,513,206,34,2442251202582,2442251201542,0,287,35,108,12,4
87,0,2062,72418,1335413,0,0,1,0,1,1,0,0,307,445,190,35,2442251203645,2442251202668,0,307,36,126,12,4
88,0,2062,72419,1335414,0,0,1,0,1,1,0,0,290,593,182,34,2442251204805,2442251203706,0,290,36,112,12,4
89,0,2062,72420,1335415,0,0,1,0,1,1,0,0,288,433,183,34,2442251205814,2442251204876,0,288,35,105,12,4
90,0,2062,72421,1335416,0,0,1,0,1,1,0,0,284,454,181,35,2442251206833,2442251205879,0,284,35,106,12,4
91,0,2062,72422,1335417,0,0,1,0,1,1,0,0,286,441,182,35,2442251207845,2442251206901,0,286,36,106,12,4
92,0,2062,72423,1335418,0,0,1,0,1,1,0,0,283,414,181,34,2442251208828,2442251207916,0,283,35,105,12,4
93,0,2062,73088,1335419,0,0,1,0,1,1,0,0,289,423,183,35,2442251209820,2442251208890,0,289,34,107,12,4
94,0,2062,73089,1335420,0,0,1,0,1,1,0,0,282,490,183,34,2442251210874,2442251209885,0,282,34,106,12,4
95,0,2062,73090,1335421,0,0,1,0,1,1,0,0,281,486,183,34,2442251211928,2442251210944,0,281,34,105,12,4
96,0,2062,73091,1335422,0,0,1,0,1,1,0,0,282,465,181,34,2442251212955,2442251211993,0,282,34,105,12,4
97,0,2062,73092,1335423,0,0,1,0,1,1,0,0,441,426,212,34,2442251279606,2442251278493,0,441,36,173,8,4
98,0,2062,73093,1335424,0,0,1,0,1,1,0,0,318,481,185,34,2442251280722,2442251279704,0,318,33,136,8,4
99,0,2062,73094,1335425,0,0,1,0,1,1,0,0,285,436,180,34,2442251281896,2442251280961,0,285,33,106,8,4
100,0,2062,73095,1335426,0,0,1,0,1,1,0,0,284,482,181,33,2442251282981,2442251282001,0,284,35,106,8,4
101,0,2062,83690,1335427,0,0,1,0,1,1,0,0,300,811,179,37,2442251284390,2442251283063,0,300,35,105,8,4
102,0,2062,83691,1335428,0,0,1,0,1,1,0,0,283,531,181,35,2442251285883,2442251284853,0,283,34,105,8,4
103,0,2062,83692,1335429,0,0,1,0,1,1,0,0,287,428,179,34,2442251286891,2442251285963,0,287,35,108,8,4
104,0,2062,83693,1335430,0,0,1,0,1,1,0,0,307,419,180,35,2442251287884,2442251286943,0,307,36,105,8,4
105,0,2062,83694,1335431,0,0,1,0,1,1,0,0,289,396,178,37,2442251288857,2442251287957,0,289,35,106,8,4
106,0,2062,83695,1335432,0,0,1,0,1,1,0,0,302,529,184,33,2442251289994,2442251288946,0,302,35,122,8,4
107,0,2062,89464,1335433,0,0,1,0,1,1,0,0,286,512,180,34,2442251291089,2442251290077,0,286,34,106,8,4
108,0,2062,89465,1335434,0,0,1,0,1,1,0,0,282,531,180,35,2442251292199,2442251291171,0,282,34,104,8,4
109,0,2062,89466,1335435,0,0,1,0,1,1,0,0,285,443,183,34,2442251293216,2442251292271,0,285,33,107,8,4
110,0,2062,89726,1335436,0,0,1,0,1,1,0,0,287,499,179,34,2442251294279,2442251293280,0,287,33,110,8,4
