seq,cpu,pid,src_pfn,dst_pfn,page_order,src_nid,dst_nid,mapcount,is_anon,page_was_mapped,lock_contended,lock_ns,unmap_ns,copy_ns,remap_ns,unlock_ns,total_ns,overhead_ns,result,try_migrate_ns,rocm_path,ro_swap_ns
1,1,73232,1155503,612317,0,1,0,1,1,1,0,42,14164,4874,875,41,24579,4583,0,14122,0,0
2,1,73146,1184379,376728,0,1,0,1,1,1,0,42,9206,504278,9165,167,526065,3207,0,9165,0,0
3,1,73149,1250240,511918,0,1,0,1,1,1,0,42,3291,447455,1708,83,455370,2791,0,3208,0,0
4,0,73150,1296884,486670,0,1,0,1,1,1,0,42,9040,6416,1500,83,22870,5789,0,9040,0,0
5,0,73150,1194313,486537,0,1,0,1,1,1,0,41,2749,329062,1791,42,335936,2251,0,2666,0,0
6,1,73149,1262431,520475,0,1,0,1,1,1,0,41,10207,7666,1500,42,23371,3915,0,10207,0,0
7,0,117736,785562,1194313,0,0,1,1,0,1,0,42,6457,23953,958,84,32660,1166,0,6457,0,0
8,0,117736,619078,1296884,0,0,1,1,0,1,0,41,1042,4207,125,42,5665,208,0,958,0,0
9,0,117736,634124,1187480,0,0,1,1,0,1,0,42,1166,1333,83,83,2957,250,0,1124,0,0
10,0,117736,607934,1205875,0,0,1,1,0,1,0,42,583,834,83,0,1833,291,0,541,0,0
11,0,117736,707024,1296426,0,0,1,1,0,1,0,42,583,4124,125,42,5165,249,0,541,0,0
12,0,117736,785564,1134971,0,0,1,1,0,1,0,41,542,584,83,42,1541,249,0,500,0,0
13,0,117736,708662,1134694,0,0,1,1,0,1,0,42,458,3457,84,42,4333,250,0,417,0,0
14,0,117736,665194,1195085,0,0,1,1,0,1,0,42,541,1000,83,42,1875,167,0,459,0,0
15,0,117736,624865,1228249,0,0,1,1,0,1,0,42,542,7374,125,41,8331,207,0,500,0,0
16,0,117736,505317,1183833,0,0,1,1,0,1,0,0,500,916,83,41,1791,251,0,500,0,0
17,0,117736,702714,1188969,0,0,1,1,0,1,0,42,499,958,83,0,1833,251,0,458,0,0
18,0,117736,632027,1281264,0,0,1,1,0,1,0,42,625,5415,125,42,6416,167,0,542,0,0
19,0,117736,608506,1159960,0,0,1,1,0,1,0,41,416,625,83,42,1458,251,0,375,0,0
20,0,117736,624415,1139012,0,0,1,1,0,1,0,0,541,667,84,0,1542,250,0,459,0,0
21,0,117736,637773,1209285,0,0,1,1,0,1,0,41,625,833,83,0,1791,209,0,542,0,0
22,0,117736,618735,1216065,0,0,1,1,0,1,0,0,499,625,84,42,1500,250,0,499,0,0
23,0,117736,624708,1145628,0,0,1,1,0,1,0,0,2208,625,83,42,3208,250,0,2167,0,0
24,0,117736,624699,1163630,0,0,1,1,0,1,0,41,417,625,84,0,1458,291,0,333,0,0
25,0,117736,685538,1289304,0,0,1,1,0,1,0,41,625,3999,125,41,4999,168,0,583,0,0
26,0,117736,688650,1188008,0,0,1,1,0,1,0,42,542,6373,83,0,7248,208,0,458,0,0
27,0,117736,621336,1289987,0,0,1,1,0,1,0,42,500,3666,84,0,4541,249,0,459,0,0
28,0,117736,634902,1275190,0,0,1,1,0,1,0,42,500,792,83,0,1667,250,0,500,0,0
29,0,117736,785484,1195411,0,0,1,1,0,1,0,42,542,583,83,41,1458,167,0,500,0,0
30,0,117736,785440,1147412,0,0,1,1,0,1,0,41,2166,1750,292,42,4958,667,0,2124,0,0
31,0,117736,697523,1187873,0,0,1,1,0,1,0,41,625,7915,167,0,9123,375,0,583,0,0
32,0,117736,705896,1197545,0,0,1,1,0,1,0,42,583,792,125,0,1708,166,0,499,0,0
33,0,117736,785918,1152513,0,0,1,1,0,1,0,0,500,625,84,0,1500,291,0,417,0,0
34,0,117736,623780,1259519,0,0,1,1,0,1,0,42,541,667,83,42,1542,167,0,500,0,0
35,0,117736,621946,1212779,0,0,1,1,0,1,0,42,1166,8331,125,42,10039,333,0,1124,0,0
36,0,117736,613875,1299879,0,0,1,1,0,1,0,0,583,8498,83,42,9499,293,0,583,0,0
37,0,117736,634614,1274093,0,0,1,1,0,1,0,0,584,708,125,41,1666,208,0,542,0,0
38,0,117736,745238,1290882,0,0,1,1,0,1,0,42,1208,1000,125,42,2583,166,0,1124,0,0
39,0,117736,679476,1151424,0,0,1,1,0,1,0,0,583,958,84,41,1874,208,0,542,0,0
40,0,117736,663703,1208866,0,0,1,1,0,1,0,0,542,8748,125,42,9665,208,0,500,0,0
41,0,117736,637027,1193027,0,0,1,1,0,1,0,42,583,792,83,0,1667,167,0,500,0,0
42,0,117736,627057,1281067,0,0,1,1,0,1,0,42,750,9331,542,42,11039,332,0,666,0,0
43,0,117736,622349,1091104,0,0,1,1,0,1,0,41,3833,875,83,42,4957,83,0,3749,0,0
44,0,117736,683144,1239573,0,0,1,1,0,1,0,42,542,4291,125,41,5165,124,0,458,0,0
45,0,117736,681539,1231753,0,0,1,1,0,1,0,42,750,708,83,0,1833,250,0,709,0,0
46,0,117736,622377,1152821,0,0,1,1,0,1,0,41,667,542,125,42,1541,124,0,625,0,0
