seq,cpu,pid,src_pfn,dst_pfn,page_order,src_nid,dst_nid,mapcount,is_anon,page_was_mapped,lock_contended,lock_ns,unmap_ns,copy_ns,remap_ns,unlock_ns,total_ns,overhead_ns,result,try_migrate_ns,rocm_path,ro_swap_ns
1,0,116551,532565,1211985,0,0,1,64,0,1,0,83,241260,16819,25645,3205,290886,3874,0,241093,0,0
2,0,116551,530693,1224735,0,0,1,64,0,1,0,83,81267,3247,21899,84,107620,1040,0,81100,0,0
3,0,116551,530685,1191222,0,0,1,64,0,1,0,83,172816,7910,24230,167,206580,1374,0,172649,0,0
4,0,116551,541202,1298353,0,0,1,64,0,1,0,84,85638,3331,21524,83,111617,957,0,85513,0,0
5,0,116551,541271,1243245,0,0,1,64,0,1,0,83,73273,3789,21233,84,99377,915,0,73149,0,0
6,0,116551,531378,1212302,0,0,1,64,0,1,0,41,80101,7577,21232,84,110201,1166,0,79976,0,0
7,0,116551,541300,1289845,0,0,1,64,0,1,0,41,85138,2747,21316,125,114614,5247,0,85013,0,0
8,0,116551,531398,1188334,0,0,1,64,0,1,0,84,107536,3538,21275,125,133349,791,0,107412,0,0
9,0,116551,541303,1201052,0,0,1,64,0,1,0,83,80892,5496,21607,83,109036,875,0,80726,0,0
10,0,116551,539713,1206774,0,0,1,64,0,1,0,84,78852,3372,21524,84,104789,873,0,78727,0,0
11,0,116551,532605,1152295,0,0,1,64,0,1,0,83,148461,3164,21566,83,174440,1083,0,148336,0,0
12,0,116551,532559,1216329,0,0,1,64,0,1,0,83,76645,3164,21149,84,102083,958,0,76521,0,0
13,0,116551,531893,1170526,0,0,1,64,0,1,0,83,76104,3705,21191,83,102082,916,0,75937,0,0
14,0,116551,531841,1176614,0,0,1,64,0,1,0,84,78477,3788,21191,83,104539,916,0,78352,0,0
15,0,116551,532106,1164714,0,0,1,64,0,1,0,83,84888,3289,22065,83,111283,875,0,84763,0,0
16,0,116551,532175,1250546,0,0,1,64,0,1,0,83,78519,3206,21316,83,103997,790,0,78393,0,0
17,0,116551,532561,1211326,0,0,1,64,0,1,0,125,104414,3581,21565,83,130642,874,0,104290,0,0
18,0,116551,533067,1189722,0,0,1,64,0,1,0,83,78602,2956,21274,83,103873,875,0,78477,0,0
19,0,116551,532918,1188249,0,0,1,64,0,1,0,83,114406,2872,21982,83,140384,958,0,114239,0,0
20,0,116551,532499,1201296,0,0,1,64,0,1,0,83,77478,2914,21441,83,102957,958,0,77395,0,0
21,0,116551,532798,1257860,0,0,1,64,0,1,0,84,76062,2581,21316,83,101042,916,0,75896,0,0
22,0,116551,532911,1240229,0,0,1,64,0,1,0,83,68443,2706,21315,83,93548,918,0,68277,0,0
23,0,116551,532597,1291722,0,0,1,64,0,1,0,83,76396,6786,22357,83,106538,833,0,76229,0,0
24,0,116551,533462,1236636,0,0,1,64,0,1,0,84,72315,3538,21191,83,98128,917,0,72149,0,0
25,0,116551,532425,1278610,0,0,1,64,0,1,0,83,72066,3289,21607,84,98211,1082,0,71982,0,0
26,0,116551,532241,1255208,0,0,1,64,0,1,0,83,381478,6328,50209,250,440679,2331,0,381311,0,0
27,0,116551,532503,1216538,0,0,1,64,0,1,0,83,73898,2748,22315,83,100250,1123,0,73730,0,0
