config,phase,thread_id,ops,bytes,dur_ns,p50_ns,p95_ns,p99_ns,p999_ns,mean_ns,stddev_ns,n_samples
E_rand_rmw_t8_c512,baseline,0,63410496,507283968,10001450845,250.0,416.0,583.0,17370.0,315.0,1771.4,10000
E_rand_rmw_t8_c512,baseline,1,63737685,509901480,10001111513,250.0,416.0,542.0,17954.0,343.0,3637.0,10000
E_rand_rmw_t8_c512,migration,0,644848612,5158788896,30009982801,208.0,375.0,500.0,9831.0,277.5,2350.9,10000
E_rand_rmw_t8_c512,migration,1,647233856,5177870848,30009667490,208.0,375.0,500.0,1124.0,272.6,2211.8,10000
E_rand_rmw_t8_c512,steady,0,359936000,2879488000,10001303420,167.0,250.0,333.0,499.0,182.1,565.4,10000
E_rand_rmw_t8_c512,steady,1,362177216,2897417728,10001956896,167.0,250.0,333.0,417.0,188.1,1499.4,10000
