config,phase,thread_id,ops,bytes,dur_ns,p50_ns,p95_ns,p99_ns,p999_ns,mean_ns,stddev_ns,n_samples
E_rand_rmw_t4_c64,baseline,0,262353546,2098828368,10000135307,167.0,250.0,333.0,458.0,181.0,616.4,10000
E_rand_rmw_t4_c64,baseline,1,264539262,2116314096,10000135265,167.0,250.0,333.0,500.0,188.3,831.3,10000
E_rand_rmw_t4_c64,migration,0,639204868,5113638944,30005683031,167.0,250.0,334.0,3249.0,192.3,1110.8,10000
E_rand_rmw_t4_c64,migration,1,642475981,5139807848,30005683073,167.0,250.0,334.0,541.0,170.9,388.7,10000
E_rand_rmw_t4_c64,steady,0,271580636,2172645088,10004518704,166.0,209.0,292.0,458.0,154.1,441.9,10000
E_rand_rmw_t4_c64,steady,1,273533553,2188268424,10004518453,166.0,209.0,292.0,417.0,150.7,245.1,10000
