config,phase,thread_id,ops,bytes,dur_ns,p50_ns,p95_ns,p99_ns,p999_ns,mean_ns,stddev_ns,n_samples
E_seq_read_t4_c512,baseline,0,623449103,4987592824,10001729810,42.0,167.0,250.0,375.0,67.9,947.7,10000
E_seq_read_t4_c512,baseline,1,624812016,4998496128,10001078480,42.0,167.0,250.0,458.0,58.9,164.9,10000
E_seq_read_t4_c512,migration,0,1890605157,15124841256,30000490866,42.0,125.0,208.0,458.0,100.5,2639.3,10000
E_seq_read_t4_c512,migration,1,1891864375,15134915000,30001164061,41.0,125.0,250.0,375.0,46.5,343.3,10000
E_seq_read_t4_c512,steady,0,654718268,5237746144,10000084865,42.0,125.0,208.0,334.0,49.4,447.9,10000
E_seq_read_t4_c512,steady,1,655960178,5247681424,10000087197,42.0,125.0,208.0,375.0,48.6,379.5,10000
