config,phase,thread_id,ops,bytes,dur_ns,p50_ns,p95_ns,p99_ns,p999_ns,mean_ns,stddev_ns,n_samples
E_rand_rmw_t4_c512,baseline,0,340853024,2726824192,10000123076,166.0,250.0,333.0,542.0,174.1,837.3,10000
E_rand_rmw_t4_c512,baseline,1,342670695,2741365560,10000114998,166.0,250.0,333.0,499.0,184.8,1347.6,10000
E_rand_rmw_t4_c512,migration,0,979906228,7839249824,30001219753,166.0,250.0,334.0,582.0,157.3,143.5,10000
E_rand_rmw_t4_c512,migration,1,989734373,7917874984,30001219794,166.0,250.0,333.0,624.0,177.8,1388.2,10000
E_rand_rmw_t4_c512,steady,0,430203258,3441626064,10000071598,125.0,208.0,291.0,374.0,139.4,193.1,10000
E_rand_rmw_t4_c512,steady,1,431443584,3451548672,10000072597,125.0,208.0,292.0,416.0,153.1,775.4,10000
