config,phase,thread_id,ops,bytes,dur_ns,p50_ns,p95_ns,p99_ns,p999_ns,mean_ns,stddev_ns,n_samples
E_rand_rmw_t4_c1,baseline,0,334855485,2678843880,10000220348,208.0,250.0,333.0,458.0,201.8,1067.7,10000
E_rand_rmw_t4_c1,baseline,1,338698890,2709591120,10000281127,167.0,250.0,333.0,417.0,181.9,133.0,10000
E_rand_rmw_t4_c1,migration,0,535852224,4286817792,30004963385,167.0,292.0,416.0,21621.0,311.1,5239.3,10000
E_rand_rmw_t4_c1,migration,1,535529976,4284239808,30004902314,167.0,292.0,416.0,25162.0,264.3,1789.3,10000
E_rand_rmw_t4_c1,steady,0,139599714,1116797712,10002833146,167.0,292.0,375.0,6082.0,213.1,1060.1,10000
E_rand_rmw_t4_c1,steady,1,142137088,1137096704,10002735249,167.0,291.0,375.0,2499.0,200.0,768.1,10000
