config,phase,thread_id,ops,bytes,dur_ns,p50_ns,p95_ns,p99_ns,p999_ns,mean_ns,stddev_ns,n_samples
E_rand_read_t4_c512,baseline,0,499838206,3998705648,10000125870,166.0,209.0,291.0,417.0,152.9,322.6,10000
E_rand_read_t4_c512,baseline,1,500954624,4007636992,10000125829,166.0,209.0,291.0,374.0,162.7,1120.7,10000
E_rand_read_t4_c512,migration,0,1258710167,10069681336,30002127034,166.0,209.0,292.0,3415.0,169.7,625.7,10000
E_rand_read_t4_c512,migration,1,1269245652,10153965216,30002125326,166.0,209.0,292.0,417.0,161.5,572.8,10000
E_rand_read_t4_c512,steady,0,257967661,2063741288,10003385469,167.0,250.0,333.0,22243.0,236.6,2091.6,10000
E_rand_read_t4_c512,steady,1,260547049,2084376392,10003387219,167.0,250.0,334.0,1916.0,274.9,9490.5,10000
