seq,cpu,pid,src_pfn,dst_pfn,page_order,src_nid,dst_nid,mapcount,is_anon,page_was_mapped,lock_contended,lock_ns,unmap_ns,copy_ns,remap_ns,unlock_ns,total_ns,overhead_ns,result,try_migrate_ns,rocm_path,ro_swap_ns
1,0,116551,540626,1216995,0,0,1,8,0,1,0,83,62240,18193,5079,375,90592,4622,0,62115,0,0
2,0,116551,539715,1231437,0,0,1,8,0,1,0,83,8910,3580,2456,83,15987,875,0,8784,0,0
3,0,116551,539724,1240175,0,0,1,8,0,1,0,83,10325,2457,2207,83,15986,831,0,10200,0,0
4,0,116551,543735,1283507,0,0,1,8,0,1,0,83,9991,7660,2290,84,20941,833,0,9825,0,0
5,0,116551,543674,1286429,0,0,1,8,0,1,0,83,9784,5620,2081,83,18526,875,0,9658,0,0
6,0,116551,539698,1269230,0,0,1,8,0,1,0,83,10991,3456,2124,83,17486,749,0,10825,0,0
7,0,116551,543299,1165653,0,0,1,8,0,1,0,83,10908,3497,2207,83,17693,915,0,10741,0,0
8,0,116551,539713,1159840,0,0,1,8,0,1,0,83,12489,2373,2248,83,18068,792,0,12323,0,0
9,0,116551,543427,1259123,0,0,1,8,0,1,0,84,8992,3372,2207,83,15571,833,0,8826,0,0
10,0,116551,539686,1296246,0,0,1,8,0,1,0,83,9034,2831,2124,83,14987,832,0,8867,0,0
11,0,116551,539684,1217951,0,0,1,8,0,1,0,83,8826,2414,2124,83,14363,833,0,8701,0,0
12,0,116551,540535,1232902,0,0,1,8,0,1,0,83,9909,2706,2123,83,15737,833,0,9742,0,0
13,0,116551,539492,1191230,0,0,1,8,0,1,0,84,13281,3164,2123,84,19609,873,0,13114,0,0
14,0,116551,539482,1213408,0,0,1,8,0,1,0,84,7993,3123,2123,84,14238,831,0,7910,0,0
15,0,116551,539742,1275659,0,0,1,8,0,1,0,41,8451,2622,2123,84,14238,917,0,8326,0,0
16,0,116551,539565,1177462,0,0,1,8,0,1,0,83,8576,3497,2207,125,15279,791,0,8410,0,0
17,0,116551,540618,1188959,0,0,1,8,0,1,0,83,13197,6037,2206,83,22481,875,0,13072,0,0
18,0,116551,539780,1239651,0,0,1,8,0,1,0,83,9991,5412,2248,125,18651,792,0,9867,0,0
19,0,116551,539526,1200418,0,0,1,8,0,1,0,41,7494,2623,2123,83,13281,917,0,7369,0,0
20,0,116551,539530,1223004,0,0,1,8,0,1,0,83,9284,2373,2164,83,14862,875,0,9200,0,0
21,0,116551,539489,1152399,0,0,1,8,0,1,0,41,9076,2415,2248,83,14821,958,0,8910,0,0
22,0,116551,539490,1260916,0,0,1,8,0,1,0,83,9076,1332,2165,83,13572,833,0,8910,0,0
23,0,116551,539745,1163842,0,0,1,8,0,1,0,41,8701,2456,2206,83,14446,959,0,8576,0,0
24,0,116551,540645,1247614,0,0,1,8,0,1,0,83,10825,7202,2249,83,21274,832,0,10699,0,0
25,0,116551,540775,1223605,0,0,1,8,0,1,0,83,7993,6661,2332,83,17985,833,0,7827,0,0
26,0,116551,540743,1246806,0,0,1,8,0,1,0,83,7493,5745,2248,83,16486,834,0,7327,0,0
27,0,116551,540738,1291208,0,0,1,8,0,1,0,84,12198,3497,2165,84,18818,790,0,12032,0,0
28,0,116551,540693,1215503,0,0,1,8,0,1,0,84,14946,3164,2207,83,21316,832,0,14780,0,0
29,0,116551,540683,1298313,0,0,1,8,0,1,0,83,9409,5704,2165,84,18277,832,0,9243,0,0
30,0,116551,540681,1234618,0,0,1,8,0,1,0,83,53248,2123,2623,84,59617,1456,0,53081,0,0
31,0,116551,541183,1196748,0,0,1,8,0,1,0,83,17569,2415,2206,83,23231,875,0,17402,0,0
32,0,116551,541124,1221116,0,0,1,8,0,1,0,42,9409,6120,2206,83,18817,957,0,9325,0,0
33,0,116551,541071,1228165,0,0,1,8,0,1,0,42,60699,3080,2623,83,67652,1125,0,60575,0,0
34,0,116551,541036,1282563,0,0,1,8,0,1,0,83,7827,5287,2124,83,16319,915,0,7702,0,0
35,0,116551,540986,1258314,0,0,1,8,0,1,0,42,8326,3413,2165,84,14946,916,0,8160,0,0
36,0,116551,540914,1274364,0,0,1,8,0,1,0,84,8035,3372,2123,83,14571,874,0,7869,0,0
37,0,116551,540814,1262122,0,0,1,8,0,1,0,83,7494,5662,2123,83,16278,833,0,7327,0,0
38,0,116551,540812,1216538,0,0,1,8,0,1,0,84,6911,2539,2123,83,12656,916,0,6786,0,0
39,0,116551,540811,1255208,0,0,1,8,0,1,0,83,6786,2289,2123,83,12199,835,0,6620,0,0
40,0,116551,540779,1278610,0,0,1,8,0,1,0,42,9034,2623,2165,83,14863,916,0,8951,0,0
41,0,116551,540804,1236636,0,0,1,8,0,1,0,83,9034,2997,2206,83,15487,1084,0,8868,0,0
42,0,116551,540829,1291722,0,0,1,8,0,1,0,42,6578,2540,2123,84,12282,915,0,6495,0,0
43,0,116551,541303,1240229,0,0,1,8,0,1,0,83,7702,2582,2081,83,13364,833,0,7536,0,0
44,0,116551,541300,1257860,0,0,1,8,0,1,0,84,7410,2456,2082,83,12948,833,0,7244,0,0
45,0,116551,541271,1201296,0,0,1,8,0,1,0,83,8284,3330,2081,83,14696,835,0,8118,0,0
46,0,116551,541202,1188249,0,0,1,8,0,1,0,84,10866,2581,2081,83,16528,833,0,10700,0,0
47,0,116551,541619,1189722,0,0,1,8,0,1,0,83,8785,5495,2207,125,17527,832,0,8617,0,0
48,0,116551,541603,1211326,0,0,1,8,0,1,0,84,7827,2165,2207,125,13156,748,0,7661,0,0
49,0,116551,541519,1250546,0,0,1,8,0,1,0,83,8701,2456,2207,83,14322,792,0,8535,0,0
50,0,116551,541388,1164714,0,0,1,8,0,1,0,83,8951,2623,2332,83,14905,833,0,8785,0,0
51,0,116551,541350,1176614,0,0,1,8,0,1,0,83,8992,2707,2123,83,14821,833,0,8868,0,0
52,0,116551,541326,1170526,0,0,1,8,0,1,0,83,11990,5413,2123,83,20525,833,0,11824,0,0
53,0,116551,541320,1216329,0,0,1,8,0,1,0,84,10450,2082,2081,83,15653,873,0,10283,0,0
54,0,116551,541319,1152295,0,0,1,8,0,1,0,83,10991,2206,2290,84,16486,832,0,10824,0,0
55,0,116551,541536,1206774,0,0,1,8,0,1,0,83,10782,7119,2290,83,21232,875,0,10616,0,0
56,0,116551,542209,1201052,0,0,1,8,0,1,0,84,12531,5246,2290,84,21066,831,0,12406,0,0
57,0,116551,542639,1188334,0,0,1,8,0,1,0,42,6661,6161,2206,83,16028,875,0,6578,0,0
58,0,116551,542533,1289845,0,0,1,8,0,1,0,84,8826,5704,2248,84,17735,789,0,8660,0,0
59,0,116551,542496,1212302,0,0,1,8,0,1,0,42,13572,2748,2290,83,19609,874,0,13448,0,0
60,0,116551,542429,1243245,0,0,1,8,0,1,0,41,8035,6370,2248,83,17902,1125,0,7910,0,0
